"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"959","Junipero Serra Elementary","625 Holly Park Cir","San Francisco","94110","5718001","Own","16","School District (Sfusd)","34,200","-122.42151153699996","37.73684052900006","9",,"528","POINT (-122.421511537 37.736840529)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1315","Polo Field North Restrooms","1451 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.49439744699998","37.76894349200006","4",,"56","POINT (-122.494397447 37.768943492)","2019/02/11 07:10:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3072","NURSERY-COLD HOUSE","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46231568899998","37.76864642700008","7",,"56","POINT (-122.462315689 37.768646427)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1896","Pier 23 1/2 Pier 23 Cafe","The Embarcadero","San Francisco","94111","9900070","Own","46","Port","1,646","-122.40080105599998","37.80337166600003","3",,"370","POINT (-122.400801056 37.803371666)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3524","624 Laguna St","624 Laguna St","San Francisco","94102","3759014","Own","72","Public Health",,"-122.42623882299995","37.77705625300007","5",,"1,306","POINT (-122.426238823 37.777056253)","2025/02/21 12:44:04 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1569","SFUSD -- Children's Center Administration Building","20 Cook St","San Francisco","94118","1067001A","Own","16","School District (Sfusd)",,"-122.45228262599994","37.783399718000055","2",,"427","POINT (-122.452282626 37.783399718)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3283","3901-3905 Mission St","3901 Mission St","San Francisco","94112",,"Lease","9","Non-City",,"-122.42460268899998","37.735087391000036","9","Public Health",,"POINT (-122.424602689 37.735087391)","2017/12/20 11:38:34 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"833","H. WELTON FLYNN DIV.","1940 Harrison St","San Francisco","94103","3551001","Own","42","Municipal Transportation Agency","268,872","-122.41431237699999","37.766202315000044","9",,"823","POINT (-122.414312377 37.766202315)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3420","AIR TRAIN GARAGE A - 97","97 SOUTH LINK ROAD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.39188262399995","37.61385621000005",,,"635","POINT (-122.391882624 37.61385621)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3523","1174-1178 Folsom & 663 Clementina","1174 Folsom St","San Francisco","94103","3730408","Own","63","Gsa - Real Estate Division",,"-122.40958259799999","37.77557339700007","6",,"1,305","POINT (-122.409582598 37.775573397)","2025/02/14 10:47:03 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3166","Homeless Transitional Housing","35 Woodward St","San Francisco","94103","3532064","Lease","9","Non-City",,"-122.42078595999999","37.769330600000046","9","Mayor","932","POINT (-122.42078596 37.7693306)","2017/12/28 10:30:05 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"455","CENTRAL SUBWAY PROJECT CHINATOWN STATION SITE","933-949 Stockton St","San Francisco","94108","0211001","Own","42","Municipal Transportation Agency","10,053","-122.40827426099997","37.794656685000064","3",,"964","POINT (-122.408274261 37.794656685)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"941","Joe Dimaggio Bathrooms","651 Lombard St","San Francisco","94133","0075001","Own","49","Recreation And Parks","288","-122.41212309099996","37.80278223800008","3",,"608","POINT (-122.412123091 37.802782238)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1331","Potrero Hill Health Center","1050 Wisconsin St","San Francisco","94107","4219051","Own","72","Public Health","6,500","-122.39892769","37.75400947800006","10",,"366","POINT (-122.39892769 37.754009478)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3274","1449 Webster St Offices","1449 Webster St","San Francisco","94115",,"Lease","9","Non-City",,"-122.43204719499994","37.78387460400006","5","Mayor","0","POINT (-122.432047195 37.783874604)","2017/12/28 10:12:24 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"335","Cabin #75","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3007","MICHIGAN (DC SUB - Line)","601 25th St","San Francisco","94107","4298002","Own","42","Municipal Transportation Agency",,"-122.38547277599997","37.75256457000006","10",,"862","POINT (-122.385472776 37.75256457)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2047","Library Support Services","190 09th St","San Francisco","94103","3509008A","Own","48","Public Library","43,182","-122.41369222299994","37.77501197400005","6",,"789","POINT (-122.413692223 37.775011974)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"84","9th - Irving Parking Lot","1318 09th Ave","San Francisco","94122","1763044","Own","42","Municipal Transportation Agency","9,480","-122.46606492699999","37.76359458600007","7",,"154","POINT (-122.466064927 37.763594586)","2026/02/26 11:24:12 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3470","Caltrans I-280 (Napoleon/Evans)","Napoleon St and Evans Ave","San Francisco","94124",,"Lease","9","Non-City",,"-122.39398135799996","37.74662518800005","10","Public Works",,"POINT (-122.393981358 37.746625188)","2018/12/19 11:36:49 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1924","Pier 41 1/2 - Blue&Gold Bldg.","The Embarcadero","San Francisco","94133","9900070","Own","46","Port","14,793","-122.38761163599997","37.77993551700007","6",,"370","POINT (-122.387611636 37.779935517)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"383","Camp Mather Stage","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85667237499996","37.88295816700003",,,"1,199","POINT (-119.856672375 37.882958167)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"692","Fire Station #10","655 Presidio Ave","San Francisco","94115","1032001","Own","38","Fire Department","14,300","-122.44672328899998","37.78562525800004","2",,"3","POINT (-122.446723289 37.785625258)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1343","Presidio Heights Clubhouse","3437 Clay St","San Francisco","94118","1009024","Own","49","Recreation And Parks","958","-122.44978472999998","37.78853606600006","2",,"99","POINT (-122.44978473 37.788536066)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3155","Wawona Clubhouse","899 Wawona St","San Francisco","94116","2488001","Own","49","Recreation And Parks","1,830","-122.47626210799996","37.737179310000045","4",,"74","POINT (-122.476262108 37.73717931)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1630","St Mary's DPA Maintenance Shed","95 Justin Dr","San Francisco","94110","5801002","Own","49","Recreation And Parks",,"-122.42065802599996","37.73366979800005","9",,"26","POINT (-122.420658026 37.733669798)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1963","Pier 70 - Pier 68 - Beth Street Substation #2, Bldg. #50","590 20TH ST","San Francisco","94107","9900070","Own","46","Port","600","-122.38595231199997","37.76203009900007","10",,"370","POINT (-122.385952312 37.762030099)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2000","Pier 70 - SWL 349 - Foundry, Bldg. #116","420 22nd St","San Francisco","94107","4111003","Own","46","Port","17,400","-122.38300091999997","37.76039202100003","10",,"733","POINT (-122.38300092 37.760392021)","2018/01/18 10:07:25 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"15","Cesar Chavez Elementary","825 Shotwell St","San Francisco","94110","3638004","Own","16","School District (Sfusd)","49,100","-122.41509206799998","37.754898980000064","9",,"492","POINT (-122.415092068 37.75489898)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3349","MAINTENANCE - 575B","575 NORTH MCDONNELL RD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.39458076699998","37.61629266500006",,,"635","POINT (-122.394580767 37.616292665)","2026/02/27 12:31:08 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1229","Park Patrol Station","811 Stanyan St","San Francisco","94117","1263011","Own","45","Police Department",,"-122.45518990999994","37.76775134600007","5",,"56","POINT (-122.45518991 37.767751346)","2019/02/15 11:58:28 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"301","Cabin #27","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2","Hamilton Family Residence","260 Golden Gate Ave","San Francisco","94102","0345007","Own","121","Homelessness And Supportive Housing","50,000","-122.41497389899996","37.78201068100003","5",,"332","POINT (-122.414973899 37.782010681)","2025/10/01 08:27:30 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"643","Equestrian Ctr Shed 1","1451 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","4,824","-122.49443037199995","37.76942094300006","4",,"56","POINT (-122.494430372 37.769420943)","2019/02/11 07:10:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"853","Harvey Milk Recreational Arts Bldg","50 Scott St","San Francisco","94117","0876001","Own","49","Recreation And Parks","19,446","-122.43456497399995","37.76945790800005","8",,"103","POINT (-122.434564974 37.769457908)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3075","Palace Of Fine Arts - Rotunda","3601 Lyon St","San Francisco","94123","0916002","Own","49","Recreation And Parks",,"-122.44841429099995","37.802898551000055","2",,"101","POINT (-122.448414291 37.802898551)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1664","Structural Maint Multi-trade Bldg.","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46068634599999","37.76781721100008","7",,"56","POINT (-122.460686346 37.767817211)","2019/02/08 11:30:44 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3330","Brady/Stevenson/Colusa - Parking","1125 Stevenson St","San Francisco","94103",,"Lease","9","Non-City",,"-122.419834004","37.773491937000074","6","Human Services Agency",,"POINT (-122.419834004 37.773491937)","2017/12/21 05:31:01 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1325","Portsmouth Square Parking Garage","733 Kearny St","San Francisco","94111","0209017","Own","42","Municipal Transportation Agency","222,984","-122.40503437899997","37.794655248000026","3",,"376","POINT (-122.405034379 37.794655248)","2019/02/15 11:47:24 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"816","Golden Gate Yacht Club","1 Yacht Rd","San Francisco","94123","0900003","Own","49","Recreation And Parks","1,500","-122.44690617699996","37.807189599000026","2",,"102","POINT (-122.446906177 37.807189599)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"714","Fire Station #32","194 Park St","San Francisco","94110","5720059","Own","38","Fire Department","10,900","-122.42116606999997","37.736322751000046","9",,"346","POINT (-122.42116607 37.736322751)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"812","Gleneagles Golf Course Clubhouse","2100 Sunnydale Ave","San Francisco","94134","6190066","Own","49","Recreation And Parks","2,000","-122.42439110799995","37.71602401300004","10",,"779","POINT (-122.424391108 37.716024013)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1416","Rooftop Alternative (5-8 Mayeda Campus)","500 Corbett Ave","San Francisco","94114","2718002","Own","16","School District (Sfusd)","21,000","-122.44448962999996","37.75740830400008","8",,"475","POINT (-122.44448963 37.757408304)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3513","Summit Pump Station","Olympia & Dellbrook","San Francisco","94131","2736002","Own","47","Public Utilities Commission",,"-122.45459053299999","37.75155873800003","7",,"382","POINT (-122.454590533 37.751558738)","2022/08/09 12:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3095","Pier 80 - Shed D","Pier 80","San Francisco","94124","4304002","Own","46","Port",,"-122.37849329099998","37.751673872000026","10",,"409","POINT (-122.378493291 37.751673872)","2018/01/18 10:07:24 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"819","Gordon J Lau Elementary","950 Clay St","San Francisco","94108","0211007","Own","16","School District (Sfusd)",,"-122.40892507599995","37.794078537000075","3",,"397","POINT (-122.408925076 37.794078537)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1317","Polo Field South Training Qtrs","1451 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,200","-122.49240765699994","37.76705359700003","4",,"56","POINT (-122.492407657 37.767053597)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3452","GTU OFFICE - 947","947 NORTH FIELD ROAD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.39125969499997","37.63700531300003",,,"635","POINT (-122.391259695 37.637005313)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3306","Wholesale Produce Market - 850 Rankin","850 Rankin St","San Francisco","94124","5281020","Own","63","Gsa - Real Estate Division","82,480","-122.39487599899996","37.74210600600003","10",,"165","POINT (-122.394875999 37.742106006)","2017/05/05 09:36:50 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1246","Parkside Branch Library","1200 Taraval St","San Francisco","94116","2351001","Own","48","Public Library","6,890","-122.47934506399997","37.74316235800006","4",,"750","POINT (-122.479345064 37.743162358)","2017/03/24 06:39:29 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"304","Cabin #3","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1179","Music Concourse","50 Hagiwara Tea Garden Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46788277799999","37.77033578000004","7",,"56","POINT (-122.467882778 37.77033578)","2019/02/08 11:16:49 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1803","Upper Noe Rec Center building","295 Day St","San Francisco","94131","6638007","Own","49","Recreation And Parks","24,150","-122.42837335099995","37.742332658000066","8",,"18","POINT (-122.428373351 37.742332658)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"729","Fire Station #5 - Division 2 Headquarters","1301 Turk St","San Francisco","94115","0756001","Own","38","Fire Department","12,600","-122.43073467999994","37.78051537400006","5",,"641","POINT (-122.43073468 37.780515374)","2017/04/10 09:00:11 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"341","Cabin #85","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1274","Pier 19 1/2 - Bulkhead/Shed","The Embarcadero","San Francisco","94111","9900070","Own","46","Port","43,200","-122.399235036","37.802699035000046","3",,"370","POINT (-122.399235036 37.802699035)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1242","Parking Lot - 6th/Harriet","201 HARRIET ST","San Francisco","94103","3759038","Lease","9","Non-City",,"-122.40407832199998","37.77660666700007","6","Police Department","1,163","POINT (-122.404078322 37.776606667)","2024/10/28 05:09:08 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"612","Dr Charles R Drew Elementary","50 Pomona St","San Francisco","94124","5356001","Own","16","School District (Sfusd)","55,234","-122.39399537799994","37.73132207200007","10",,"521","POINT (-122.393995378 37.731322072)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3392","CARGO BUILDING - 944","944 NORTH FIELD ROAD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.38986945099998","37.63593384700005",,,"635","POINT (-122.389869451 37.635933847)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1979","Pier 70 - Pier 68 - Ops. Bldg #102","590 20TH ST","San Francisco","94107","9900070","Own","46","Port","8,428","-122.38595231199997","37.76203009900007","10",,"370","POINT (-122.385952312 37.762030099)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"156","Balboa Park East Bathrooms","51 Havelock St","San Francisco","94112","3179011","Own","49","Recreation And Parks",,"-122.44425062899995","37.72518273700007","11",,"584","POINT (-122.444250629 37.725182737)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1953","Pier 54 - Oil Shed","569 Terry A Francois Blvd","San Francisco","94158","9900070","Own","46","Port","798","-122.38447458099995","37.769992244000036","6",,"370","POINT (-122.384474581 37.769992244)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1080","McLaren maintenance shed","University St & Woolsey St","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.41308664799999","37.72179887800007","9",,"779","POINT (-122.413086648 37.721798878)","2018/11/09 05:58:49 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"868","Hillcrest Elementary","810 Silver Ave","San Francisco","94134","5911005","Own","16","School District (Sfusd)","60,280","-122.41886225599995","37.728822311000044","9",,"529","POINT (-122.418862256 37.728822311)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1120","Mission Community Pool","3555 19th St","San Francisco","94110","3597061","Own","49","Recreation And Parks",,"-122.42265676499994","37.75947939800005","9",,"54","POINT (-122.422656765 37.759479398)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3178","SE OXYGEN GEN BLDG 270","1700 Jerrold Ave","San Francisco","94124","5313002","Own","47","Public Utilities Commission",,"-122.39105004099997","37.742358413000034","10",,"792","POINT (-122.391050041 37.742358413)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"678","Felton - San Bruno  Parking Lot","25 Felton St","San Francisco","94134","5981025","Own","42","Municipal Transportation Agency","5,100","-122.40504740899996","37.729682910000065","9",,"140","POINT (-122.405047409 37.72968291)","2017/06/05 09:49:39 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"756","Frank McCoppin Elementary","651 06th Ave","San Francisco","94118","1638009","Own","16","School District (Sfusd)","32,700","-122.46423203399996","37.77630467800003","1",,"445","POINT (-122.464232034 37.776304678)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1707","SWL 302 - Scomas (Smoke House)","Al Scoma Way","San Francisco","94133","9900070","Own","46","Port","4,805","-122.41852963899998","37.80853017800007","3",,"370","POINT (-122.418529639 37.808530178)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1762","The Camelot Hotel","124 Turk St","San Francisco","94102","0339005","Lease","9","Non-City",,"-122.41135710599997","37.78336636300003","5","Public Health","1,120","POINT (-122.411357106 37.783366363)","2017/12/27 06:50:50 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3428","ELECTRICAL BUILDING - 11-BR","11 SOUTH MCDONNELL RD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.38615230199997","37.60741266000008",,,"635","POINT (-122.386152302 37.60741266)","2026/02/26 11:20:17 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3209","ZOO- FLEISHACKER BUILDING","1 Zoo Rd","San Francisco","94132","7281002","Own","49","Recreation And Parks",,"-122.50647769799997","37.73350769700005","7",,"489","POINT (-122.506477698 37.733507697)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1421","Rose Garden Bathroom","700 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","612","-122.47132463199995","37.771635178000054","1",,"56","POINT (-122.471324632 37.771635178)","2019/02/14 04:15:15 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1063","Marshall Elementary","1575 15th St","San Francisco","94103","3553031","Own","16","School District (Sfusd)","34,300","-122.41900747299997","37.766455231000066","9",,"486","POINT (-122.419007473 37.766455231)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1694","Sutro Elementary","235 12th Ave","San Francisco","94118","1421006","Own","16","School District (Sfusd)","32,860","-122.47145160699995","37.783603441000025","1",,"437","POINT (-122.471451607 37.783603441)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2037","Cayuga Valve Lot","18 Cayuga Ave","San Francisco","94112",,"Own","47","Public Utilities Commission",,"-122.42892092599999","37.73176757700003","11",,"10,000","POINT (-122.428920926 37.731767577)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"876","Horseshoe Pits Bathroom","Stanyan St & Fulton St","San Francisco","94117","1263011","Own","49","Recreation And Parks","264","-122.45598033699997","37.77375408300003","1",,"56","POINT (-122.455980337 37.773754083)","2019/02/06 10:46:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3158","MIDTOWN PARK APARTMENTS","1415 Scott St","San Francisco","94115","1099031","Own","103","Mayor",,"-122.43848143499997","37.783168113000045","5",,"758","POINT (-122.438481435 37.783168113)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"458","Chalet Soccer Fields Restrooms","1901 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.50796999999994","37.76727100000005","4",,"56","POINT (-122.50797 37.767271)","2019/01/25 11:11:58 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"913","JACKSON ST/ FILLMORE SFMTA Operator Bathroom","2370 Jackson St","San Francisco","94115",,"Own","42","Municipal Transportation Agency","75","-122.43405538899998","37.792628440000044","2",,"0","POINT (-122.434055389 37.79262844)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1210","OMI Family Center","1701 Ocean Ave","San Francisco","94112","6934001","Lease","9","Non-City",,"-122.46050975299994","37.724604261000025","11","Public Health","1,191","POINT (-122.460509753 37.724604261)","2017/12/26 09:37:57 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3119","ZSFGH - Service Building","1001 Potrero Ave","San Francisco","94110","4154001","Own","72","Public Health",,"-122.40520298199999","37.75729062000005","10",,"614","POINT (-122.405202982 37.75729062)","2017/08/15 08:43:06 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"591","Douglass Restrooms","1100 Douglass St","San Francisco","94131","7500001","Own","49","Recreation And Parks",,"-122.43843593799994","37.74782079300007","8",,"5","POINT (-122.438435938 37.747820793)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3376","SWISSPORT - 730","730 NORTH MCDONNELL ROAD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.40026415799997","37.62657389800006",,,"635","POINT (-122.400264158 37.626573898)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1784","Tree Fern Dell Maintenance Facility","Conservatory Dr West & John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.460990402","37.771327566000025","7",,"56","POINT (-122.460990402 37.771327566)","2019/02/11 10:25:16 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"62","48th AVE./GEARY BLVD SFMTA Operator Bathroom","48th Ave & Geary Blvd","San Francisco","94121",,"Own","42","Municipal Transportation Agency","150","-122.50949694999997","37.77915762900005","1",,"0","POINT (-122.50949695 37.779157629)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1133","Moccasin Administration Building","1 Lakeshore Dr","Moccasin","95347",,"Own","47","Public Utilities Commission",,"-120.29915783499996","37.80928725600006",,,"1,200","POINT (-120.299157835 37.809287256)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"180","Bernal Heights Rec Center","500 Moultrie St","San Francisco","94110","5707027","Own","49","Recreation And Parks","6,224","-122.41609980899995","37.73821272500004","9",,"652","POINT (-122.416099809 37.738212725)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"192","Bowling Green Clubhouse","310 Bowling Green Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","2,150","-122.45995907499997","37.768761780000034","7",,"56","POINT (-122.459959075 37.76876178)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"477","Community Health Network Headquarters","2789 25th St","San Francisco","94110","4277013","Own","72","Public Health","60,000","-122.40566251399997","37.751459655000076","9",,"615","POINT (-122.405662514 37.751459655)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3017","Sunol Watershed Keepers House","4021 Andrade Rd","Sunol","94586",,"Own","47","Public Utilities Commission",,"-121.88395477099999","37.56611649200005",,,"1,210","POINT (-121.883954771 37.566116492)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1305","Playmates Nursery","2340 42nd Ave","San Francisco","94116","2370074","Own","16","School District (Sfusd)","3,000","-122.50013839499996","37.743125021000026","4",,"465","POINT (-122.500138395 37.743125021)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1962","Pier 7 Public Pier","Pier 7","San Francisco","94111","9900070","Own","46","Port","31,300","-122.39561842599994","37.79934571000007","3",,"370","POINT (-122.395618426 37.79934571)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1807","Urban Forestry Central Office","2323 Cesar Chavez St","San Francisco","94124","4341001","Own","77","Public Works","288","-122.40039943799997","37.749048585000025","10",,"182","POINT (-122.400399438 37.749048585)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
