"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"200","Flynn Pumping Station","1595 Davidson Ave","San Francisco","94124","5313002","Own","47","Public Utilities Commission",,"-122.39153257999999","37.74533258200006","10",,"792","POINT (-122.39153258 37.745332582)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1883","Yerba Buena Gardens - Children's Garden","750 Folsom St","San Francisco","94103","3734091","Own","63","Gsa - Real Estate Division",,"-122.40126668799996","37.78319389400008","6",,"451","POINT (-122.401266688 37.783193894)","2021/03/19 03:26:43 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3465","945 Bryant St","945 Bryant St","San Francisco","94103",,"Lease","9","Non-City",,"-122.40545726299996","37.77337280200004","6","Adult Probation",,"POINT (-122.405457263 37.773372802)","2018/10/30 09:27:37 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2091","Valve Station","At 17th Green Stnford","Menlo Park","94025",,"Own","47","Public Utilities Commission",,"-122.18320019499998","37.41636764700007",,,"10,000","POINT (-122.183200195 37.416367647)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1938","Pier 48 Warehouse","Pier 48","San Francisco","94158","9900070","Own","46","Port",,"-122.38613510899995","37.77570375100004","6",,"370","POINT (-122.386135109 37.775703751)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3025","Aptos Maintenance Facility","139 Aptos Ave","San Francisco","94127","3266A001","Own","49","Recreation And Parks",,"-122.46644188699997","37.72912068900007","7",,"481","POINT (-122.466441887 37.729120689)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3246","Rincon Hill Dog Park","Beale St & Bryant St","San Francisco","94105",,"Lease","9","Non-City",,"-122.39004474599994","37.78622608300003","6","Public Works",,"POINT (-122.390044746 37.786226083)","2026/02/27 12:59:30 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1955","Pier 54 - Storage Shed","569 Terry A Francois Blvd","San Francisco","94158","9900070","Own","46","Port","266","-122.38447458099995","37.769992244000036","6",,"370","POINT (-122.384474581 37.769992244)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1774","Tire Store","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46185493399997","37.76860096100006","7",,"56","POINT (-122.461854934 37.768600961)","2019/02/11 07:19:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3325","Ground Lease - 210 Taylor St","210 Taylor St","San Francisco","94102","0331028","Own","103","Mayor",,"-122.41082775599995","37.78445367000006","5",,"1,223","POINT (-122.410827756 37.78445367)","2017/06/29 09:45:04 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"471","Chinese Pavilion","50 Stow Lake Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,508","-122.47361367099995","37.768383707000055","7",,"56","POINT (-122.473613671 37.768383707)","2019/02/11 08:02:48 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1867","Willie L. Brown Jr. Middle School","2055 Silver Ave","San Francisco","94124","5346005","Own","16","School District (Sfusd)",,"-122.39891712299999","37.736429076000036","10",,"519","POINT (-122.398917123 37.736429076)","2017/05/30 05:27:50 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1985","Pier 70 - Pier 68 - Substation #4 (bldg #58)","590 20TH ST","San Francisco","94107","9900070","Own","46","Port","820","-122.38595231199997","37.76203009900007","10",,"370","POINT (-122.385952312 37.762030099)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3145","ZOO - LOWER RESTROOM*","1 Zoo Rd","San Francisco","94132","7281002","Own","49","Recreation And Parks",,"-122.50402739299994","37.73236557400003","7",,"489","POINT (-122.504027393 37.732365574)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1189","North Point Wet-Weather Facility","111 Bay St","San Francisco","94124","0033005","Own","47","Public Utilities Commission","272,250","-122.40883568599997","37.80591405200005","3",,"355","POINT (-122.408835686 37.805914052)","2018/01/08 08:03:16 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"907","J. Woods Cable Car Carpentry Shop","1040 Minnesota St","San Francisco","94107","4169002","Own","42","Municipal Transportation Agency",,"-122.39064827699997","37.75703329100003","10",,"820","POINT (-122.390648277 37.757033291)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"872","Hilltop Park Performance Spaces","2 WILLIE B KENNEDY DR","San Francisco","94124","4713013","Own","49","Recreation And Parks",,"-122.38381575499994","37.73297175300007","10",,"38","POINT (-122.383815755 37.732971753)","2026/02/26 11:48:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"704","Fire Station #21","1443 Grove St","San Francisco","94117","1200016","Own","38","Fire Department","8,000","-122.44027176799995","37.775409721000074","5",,"326","POINT (-122.440271768 37.775409721)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"500","Cleveland Elementary","455 Athens St","San Francisco","94112","6075003","Own","16","School District (Sfusd)","34,000","-122.42888008499995","37.720630166000035","11",,"537","POINT (-122.428880085 37.720630166)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3343","730 Stanyan St","730 Stanyan St","San Francisco","94117","1249024","Own","103","Mayor",,"-122.45319236099999","37.768714171000056","5",,"1,233","POINT (-122.453192361 37.768714171)","2018/04/24 05:49:03 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1251","Paul Revere Elementary","555 Tompkins Ave","San Francisco","94110","5702030","Own","16","School District (Sfusd)","56,400","-122.41315842399996","37.73726298400004","9",,"524","POINT (-122.413158424 37.737262984)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"307","Cabin #33","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"963","Juvenile Justice Center","375 Woodside Ave","San Francisco","94127","2842007","Own","21","Juvenile Probation","82,551","-122.45274726399998","37.74609555500007","7",,"915","POINT (-122.452747264 37.746095555)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1139","MOSCONE CENTER Parking Garage","255 03rd St","San Francisco","94103","3735060","Own","42","Municipal Transportation Agency","255,444","-122.39936722799996","37.78471153700008","6",,"868","POINT (-122.399367228 37.784711537)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3210","LAGUNA HONDA - Utils/Equipment","375 Laguna Honda Blvd","San Francisco","94131","2842007","Own","72","Public Health",,"-122.45641572799997","37.749624065000035","7",,"383","POINT (-122.456415728 37.749624065)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"674","Child Support Services","617 Mission St","San Francisco","94105","3722073","Lease","9","Non-City",,"-122.40010573999996","37.78755180400003","6","Child Support Services","1,156","POINT (-122.40010574 37.787551804)","2017/12/28 07:28:45 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
